True (T) or No Data (C);Year;Solar Longitude;Sol;Wind Speed m/sec;Wind Direction;Pressure mb;Temp F;Temp C
T;1;122.615;10.62;4.4;303;7.64;-29.11;-33.95
T;1;122.635;10.66;2.9;338;7.64;-29.94;-34.41
T;1;122.654;10.7;3;349;7.64;-31.07;-35.04
T;1;122.673;10.74;2.8;356;7.64;-31.67;-35.37
T;1;122.693;10.78;1.8;344;7.64;-46.34;-43.52
T;1;122.712;10.82;0.9;0;7.64;-71.54;-57.52
T;1;122.731;10.86;1.3;21;7.62;-80.41;-62.45
T;1;122.751;10.9;1.7;28;7.64;-82.44;-63.58
T;1;122.77;10.94;1.1;61;7.73;-90.81;-68.23
T;1;122.79;10.98;1;58;7.75;-94.97;-70.54
T;1;122.809;11.02;1.3;39;7.73;-98.14;-72.3
T;1;122.828;11.06;1.5;58;7.73;-105.5;-76.39
T;1;122.848;11.1;2.2;72;7.69;-111.28;-79.6
T;1;122.867;11.14;2.5;74;7.64;-114.97;-81.65
T;1;122.887;11.18;2.1;77;7.64;-118.84;-83.8
T;1;122.906;11.22;2.7;97;7.64;-122.87;-86.04
T;1;122.925;11.26;3.9;124;7.64;-104.57;-75.87
T;1;122.945;11.3;4.9;157;7.64;-77.82;-61.01
T;1;122.964;11.34;5.9;225;7.64;-70.71;-57.06
T;1;122.984;11.38;5.9;222;7.64;-71.81;-57.67
T;1;123.003;11.42;4.9;250;7.64;-58.68;-50.38
T;1;123.022;11.46;5.6;286;7.64;-46.17;-43.43
T;1;123.042;11.5;5.4;282;7.64;-46.84;-43.8
T;1;123.061;11.54;4.5;0;7.64;-37.05;-38.36
T;1;123.081;11.58;4.4;11;7.64;-29.49;-34.16
T;1;123.1;11.62;4.7;346;7.64;-27.47;-33.04
T;1;123.119;11.66;4.9;325;7.64;-28.95;-33.86
T;1;123.139;11.7;4.5;341;7.64;-30.86;-34.92
T;1;123.158;11.74;4;334;7.64;-31.83;-35.46
T;1;123.178;11.78;3;345;7.64;-47.34;-44.08
T;1;123.197;11.82;2.3;350;7.64;-71.37;-57.43
T;1;123.216;11.86;1.7;357;7.62;-81.27;-62.93
T;1;123.236;11.9;1.4;17;7.64;-85.13;-65.07
T;1;123.255;11.94;1.4;45;7.73;-93.77;-69.87
T;1;123.275;11.98;1.4;51;7.77;-98.03;-72.24
T;1;123.294;12.02;1.4;42;7.73;-101.31;-74.06
T;1;123.313;12.06;1.5;45;7.64;-108.08;-77.82
T;1;123.333;12.1;1.9;68;7.62;-111.6;-79.78
T;1;123.352;12.14;2.1;79;7.64;-113.58;-80.88
T;1;123.372;12.18;1.9;58;7.64;-117.42;-83.01
T;1;123.391;12.22;2.4;62;7.64;-119.63;-84.24
T;1;123.411;12.26;4;94;7.64;-102.93;-74.96
T;1;123.43;12.3;5.4;135;7.64;-82.08;-63.38
T;1;123.45;12.34;3.4;155;7.64;-60.48;-51.38
T;1;123.469;12.38;1.8;161;7.64;-53.21;-47.34
T;1;123.488;12.42;2;153;7.64;-47.31;-44.06
T;1;123.508;12.46;3.5;321;7.64;-46.41;-43.56
T;1;123.527;12.5;4.3;284;7.64;-45.65;-43.14
T;1;123.547;12.54;3.7;302;7.64;-39.28;-39.6
T;1;123.566;12.58;5;352;7.64;-30.51;-34.73
T;1;123.585;12.62;4.4;16;7.64;-26.77;-32.65
T;1;123.605;12.66;3.1;39;7.64;-26.21;-32.34
T;1;123.624;12.7;3.5;13;7.64;-28.95;-33.86
T;1;123.644;12.74;4;16;7.64;-30.12;-34.51
T;1;123.663;12.78;2.6;344;7.64;-46.21;-43.45
T;1;123.683;12.82;2.3;3;7.64;-70.83;-57.13
T;1;123.702;12.86;2.9;27;7.62;-80.25;-62.36
T;1;123.721;12.9;2.8;35;7.64;-84.14;-64.52
T;1;123.741;12.94;1.4;42;7.71;-94.22;-70.12
T;1;123.76;12.98;1.1;56;7.71;-97.83;-72.13
T;1;123.78;13.02;1.4;65;7.66;-100.23;-73.46
T;1;123.799;13.06;1.5;70;7.64;-107.77;-77.65
T;1;123.819;13.1;1.8;60;7.64;-110.49;-79.16
T;1;123.838;13.14;2.8;73;7.64;-112.32;-80.18
T;1;123.858;13.18;4.1;100;7.64;-115.35;-81.86
T;1;123.877;13.22;3.7;90;7.64;-121.16;-85.09
T;1;123.897;13.26;3.8;92;7.64;-112.67;-80.37
T;1;123.916;13.3;5.9;128;7.64;-85.52;-65.29
T;1;123.935;13.34;5.6;138;7.64;-72.74;-58.19
T;1;123.955;13.38;3.8;146;7.64;-59.85;-51.03
T;1;123.974;13.42;3.4;197;7.64;-47.13;-43.96
T;1;123.994;13.46;5.3;235;7.64;-50.1;-45.61
T;1;124.013;13.5;4.5;259;7.64;-47.61;-44.23
T;1;124.033;13.54;1.7;21;7.64;-21.48;-29.71
T;1;124.052;13.58;3.4;37;7.64;-30.1;-34.5
T;1;124.072;13.62;2.1;33;7.64;-30.71;-34.84
T;1;124.091;13.66;2.5;18;7.64;-27.54;-33.08
T;1;124.11;13.7;1.7;42;7.64;-29.42;-34.12
T;1;124.13;13.74;2;35;7.64;-29.6;-34.22
T;1;124.149;13.78;1.1;349;7.64;-44.88;-42.71
T;1;124.169;13.82;1.6;35;7.64;-66.66;-54.81
T;1;124.188;13.86;1.8;49;7.64;-78.56;-61.42
T;1;124.208;13.9;1.5;42;7.64;-85.72;-65.4
T;1;124.227;13.94;1.4;30;7.64;-94.77;-70.43
T;1;124.247;13.98;2.8;54;7.64;-99.2;-72.89
T;1;124.266;14.02;3.4;67;7.64;-102.95;-74.97
T;1;124.286;14.06;1.9;72;7.64;-109.98;-78.88
T;1;124.305;14.1;2.1;72;7.64;-113.31;-80.73
T;1;124.324;14.14;3.4;73;7.64;-116.18;-82.32
T;1;124.344;14.18;4;80;7.64;-122.13;-85.63
T;1;124.363;14.22;4.6;89;7.64;-123.05;-86.14
T;1;124.383;14.26;5.9;107;7.64;-109.17;-78.43
T;1;124.402;14.3;7.5;130;7.64;-83.81;-64.34
T;1;124.422;14.34;6.9;142;7.64;-68.35;-55.75
T;1;124.441;14.38;4.8;158;7.64;-56.79;-49.33
T;1;124.461;14.42;3.2;201;7.64;-47.43;-44.13
T;1;124.48;14.46;2.8;227;7.64;-46.17;-43.43
T;1;124.5;14.5;2;30;7.64;-40.86;-40.48
T;1;124.519;14.54;2.4;320;7.64;-37.46;-38.59
T;1;124.539;14.58;2;278;7.64;-29.16;-33.98
T;1;124.558;14.62;1.5;265;7.66;-21.51;-29.73
T;1;124.578;14.66;2.5;330;7.64;-27.76;-33.2
T;1;124.597;14.7;1.5;343;7.56;-30.96;-34.98
T;1;124.617;14.74;2.4;10;7.58;-29.92;-34.4
T;1;124.636;14.78;1.1;22;7.64;-45.74;-43.19
T;1;124.656;14.82;1.6;38;7.64;-70.69;-57.05
T;1;124.675;14.86;1.6;47;7.64;-79.92;-62.18
T;1;124.695;14.9;1.2;52;7.64;-82.79;-63.77
T;1;124.714;14.94;1.2;34;7.64;-89.14;-67.3
T;1;124.734;14.98;0.9;49;7.64;-87.81;-66.56
T;1;124.753;15.02;1.5;67;7.64;-101.83;-74.35
T;1;124.773;15.06;1.5;74;7.64;-108.36;-77.98
T;1;124.792;15.1;1.8;74;7.64;-112.4;-80.22
T;1;124.812;15.14;2.5;78;7.64;-114.11;-81.17
T;1;124.831;15.18;3.4;93;7.64;-108.36;-77.98
T;1;124.851;15.22;4.8;107;7.64;-105.14;-76.19
T;1;124.87;15.26;5;118;7.64;-89.57;-67.54
T;1;124.89;15.3;6;134;7.64;-77.64;-60.91
T;1;124.909;15.34;5.3;144;7.64;-60.05;-51.14
T;1;124.929;15.38;3.4;166;7.64;-47.79;-44.33
T;1;124.948;15.42;2.7;184;7.64;-50.22;-45.68
T;1;124.968;15.46;2.9;209;7.64;-35.25;-37.36
T;1;124.987;15.5;2.9;258;7.64;-33.63;-36.46
T;1;125.007;15.54;1.5;55;7.64;-27.2;-32.89
T;1;125.026;15.58;2.2;201;7.64;-22.54;-30.3
T;1;125.046;15.62;3.6;218;7.64;-26.84;-32.69
T;1;125.065;15.66;1.1;37;7.64;-24.5;-31.39
T;1;125.085;15.7;0.6;5;7.6;-27.56;-33.09
T;1;125.104;15.74;1.3;297;7.56;-33.39;-36.33
T;1;125.124;15.78;0.7;342;7.56;-50.66;-45.92
T;1;125.143;15.82;0.5;23;7.58;-64.64;-53.69
T;1;125.163;15.86;0.9;41;7.6;-74.36;-59.09
T;1;125.182;15.9;1.4;45;7.62;-81.96;-63.31
T;1;125.202;15.94;1.4;14;7.63;-84.86;-64.92
T;1;125.221;15.98;1.2;355;7.64;-88.85;-67.14
T;1;125.241;16.02;1.4;60;7.64;-99.45;-73.03
T;1;125.26;16.06;1.8;93;7.64;-108.56;-78.09
T;1;125.28;16.1;1.7;93;7.64;-106.35;-76.86
T;1;125.299;16.14;4.4;103;7.64;-110.49;-79.16
T;1;125.319;16.18;5.8;112;7.64;-114.05;-81.14
T;1;125.338;16.22;5.4;113;7.64;-110.6;-79.22
T;1;125.358;16.26;5.9;136;7.64;-85.74;-65.41
T;1;125.377;16.3;6;144;7.64;-73.08;-58.38
T;1;125.397;16.34;5;168;7.64;-61.51;-51.95
T;1;125.416;16.38;4.7;210;7.64;-56.38;-49.1
T;1;125.436;16.42;4.9;241;7.64;-49.31;-45.17
T;1;125.456;16.46;4.6;248;7.64;-41.96;-41.09
T;1;125.475;16.5;3.6;277;7.64;-37.17;-38.43
T;1;125.495;16.54;3.9;286;7.64;-33.11;-36.17
T;1;125.514;16.58;3.4;278;7.64;-23.39;-30.77
T;1;125.534;16.62;2.9;321;7.64;-34.35;-36.86
T;1;125.553;16.66;2.6;324;7.61;-24.27;-31.26
T;1;125.573;16.7;2;309;7.57;-25.73;-32.07
T;1;125.592;16.74;1.6;345;7.56;-31.63;-35.35
T;1;125.612;16.78;0.6;329;7.64;-44.28;-42.38
T;1;125.631;16.82;0.7;333;7.64;-61.96;-52.2
T;1;125.651;16.86;0.9;324;7.64;-72.74;-58.19
T;1;125.67;16.9;0.9;352;7.64;-79.67;-62.04
T;1;125.69;16.94;1.1;84;7.64;-81.99;-63.33
T;1;125.71;16.98;0.9;63;7.64;-89.95;-67.75
T;1;125.729;17.02;1.1;90;7.64;-93.19;-69.55
T;1;125.749;17.06;2.3;111;7.64;-97.92;-72.18
T;1;125.768;17.1;4;111;7.64;-102.3;-74.61
T;1;125.788;17.14;2.8;126;7.64;-99.94;-73.3
T;1;125.807;17.18;2.9;128;7.64;-104.42;-75.79
T;1;125.827;17.22;4;124;7.64;-103.4;-75.22
T;1;125.846;17.26;4.6;140;7.64;-88.64;-67.02
T;1;125.866;17.3;5.1;151;7.64;-75.17;-59.54
T;1;125.886;17.34;4.8;188;7.64;-66.62;-54.79
T;1;125.905;17.38;4.5;218;7.64;-59.53;-50.85
T;1;125.925;17.42;4;241;7.64;-56.47;-49.15
T;1;125.944;17.46;3.9;260;7.64;-43.98;-42.21
T;1;125.964;17.5;3.6;278;7.64;-40.04;-40.02
T;1;125.983;17.54;3.9;288;7.64;-37.16;-38.42
T;1;126.003;17.58;3.9;282;7.64;-27.08;-32.82
T;1;126.022;17.62;3.3;298;7.64;-25.13;-31.74
T;1;126.042;17.66;3.2;296;7.61;-21.46;-29.7
T;1;126.062;17.7;2.3;344;7.57;-29.36;-34.09
T;1;126.081;17.74;3;340;7.56;-32.42;-35.79
T;1;126.101;17.78;1.5;318;7.64;-45.17;-42.87
T;1;126.12;17.82;1.1;319;7.64;-60.43;-51.35
T;1;126.14;17.86;1.1;331;7.64;-73.14;-58.41
T;1;126.159;17.9;0.9;353;7.64;-80;-62.22
T;1;126.179;17.94;1;54;7.64;-86.93;-66.07
T;1;126.199;17.98;0.7;37;7.64;-93.41;-69.67
T;1;126.218;18.02;0.9;30;7.64;-97.26;-71.81
T;1;126.238;18.06;1.3;72;7.64;-100.57;-73.65
T;1;126.257;18.1;2.6;112;7.64;-103.04;-75.02
T;1;126.277;18.14;1.8;120;7.64;-100.26;-73.48
T;1;126.296;18.18;2.2;131;7.64;-103.36;-75.2
T;1;126.316;18.22;3;132;7.64;-100.77;-73.76
T;1;126.336;18.26;4;136;7.64;-88.76;-67.09
T;1;126.355;18.3;4.5;150;7.64;-73.7;-58.72
