# Gothic word list, compiled by Dr. Moritz Heyne, published in 1896
# Herkunft: goth_heyne.txt (Dr. Moritz Heyne, 1896), ASCII
# bearbeitet mit Lotus WordPro 9.7, Text-Importeinstellung: Codepage 1252,
# Wagenrücklauf nach jedem Absatz
# 1. Durchgehen: 03/07.2007 .. 05/07.2007
# 2. Durchgehen inkl. Streichung falscher Wörter 06/07.2007 .. 08.07.2007
# An asterisk * denotes a reconstructed word which has not been testified.
Esaw|Esau
Esaías|s. Esaeias
Fadar|Vater
Falaig|Phaleg
Fallasur|Phassur
Fanuel|Phanuel
Farais|Phares
Faraon|Pharao
Fareisaius|Fremdw., Pharisäer
Farisaius|s. Fareisaius
Faurtunatus|Fortunatus
Filetus|Philetus
Filippa|die Stadt Philippi
Filippisius|Philipper
Filippus|Philippus
Friþareiks|Friederich
Fygailus|Phygellus
ga|(untrennbarer Partikel)
Gabaa|Gabaa
Gabair|Gaber (Gebbar)
Gabriel|Gabriel
Gaddarenus|Gaddarener (Gerasnener)
Gainnesaraiþ|Gennesareth
Gairgaisainus|Gergesener (Gerasener)
Gaius|Kajus
Galateis|die Galater
Galatia|Galatien
Galatius?|der Galater
Galeilaia|Galiläa
Galeilaius|Galiläer
Gaulgauþa|Golgatha
Gaumaurra|Gomorra
Gaumaurreis|die Einwohner von Gomorra
Gudilaib|Aret. Urk
Gutþiuda|Gotenfolk
haban|1. haben, halten; 2. zur Bestimmung der zeit: wie alt? wie lange her?; 3. mit Adverbien, sich befinden; 4. halten, meinen; 5. wollen, werden; Compos.: af-: ana-. af-, dis-, ga-, uf-haban; vgl. auch un-habands, un-ga-habands
Haibraius|Hebräer
Haileisaius|Elisäus
Hairodia|s. Herodia
Helei|Heli
Heleias|s. Helias
Helias|Elias
Her|Her
Herodes|Herodes
Herodia|Herodias
Herodianus|Herodianer
Herodis|s. Herodes
Hymainaius|Hymenäus
Iaeirus|Jairas
Iairaimias|Jeremias
Iairaupaulis|Hierapolis
Iairausaulyma|s. Iairusaulyma
Iaireiko|Jericho
Iairiko|s. Iaireiko
Iairusalem|(gen. -lems, dat. acc. -lem), Jerusalem
Iairusaulyma|fem. (gen. -mos), Jerusalem
Iairusaulymeis|(dat. -mim und -miam), Jerusalem, auch die Einwohner von Jerusalem
Iairusaulymeites|(gen. plur. -te), Einwohner von Jerusalem
Iaissais|(gen. Iaissaizis), Jesse
Iakob|Jacob
Iakobus|(auch mit dem gen. Iakobis, dat. -ba). Jakobus
Iared|Jared
Iareim|Harim
Iasson|Jason
Iaurdanes|(dat. Iaurdane), Jordan
Iaurdanus|Jordan
Idumaia|(dat. Idumaia), ldumäa
Iesus|Jesus, acc. Iesu. dat. Iesua und Iesu
Ioanan|Johanan
Iodas|s. Iudas
Iohanna|Joanna
Iora|Jora
Ioreim|Jorim
Iosef|Joseph
Ioses|(gen. Iosezis), Joses
Isak|lsaak
Iskarioteis|s. Iskariotes
Iskariotes|Iskarjotes, Skariotes, Iscariot
Israel|Israel
Israeleites|(plur. Israeleitai oder -teis), Israelit
Ituraia|(gen.. Ituraias), Ituräa
Iudaia|Judäa
Iudaialand|das Land Judäa
Iudaius|Jude
